SeriesInstanceUID,dcm_file_count
1.2.826.0.1.3680043.8.498.10004044428023505108375152878107656647,188
1.2.826.0.1.3680043.8.498.10004684224894397679901841656954650085,147
1.2.826.0.1.3680043.8.498.10005158603912009425635473100344077317,276
1.2.826.0.1.3680043.8.498.10009383108068795488741533244914370182,224
1.2.826.0.1.3680043.8.498.10012790035410518400400834395242853657,1
1.2.826.0.1.3680043.8.498.10014757658335054766479957992112625961,856
1.2.826.0.1.3680043.8.498.10021411248005513321236647460239137906,239
1.2.826.0.1.3680043.8.498.10022688097731894079510930966432818105,178
1.2.826.0.1.3680043.8.498.10022796280698534221758473208024838831,671
1.2.826.0.1.3680043.8.498.10023411164590664678534044036963716636,205
1.2.826.0.1.3680043.8.498.10030095840917973694487307992374923817,451
1.2.826.0.1.3680043.8.498.10030804647049037739144303822498146901,1
1.2.826.0.1.3680043.8.498.10034081836061566510187499603024895557,83
1.2.826.0.1.3680043.8.498.10035643165968342618460849823699311381,228
1.2.826.0.1.3680043.8.498.10035782880104673269567641444954004745,1
1.2.826.0.1.3680043.8.498.10037266473301611864455091971206084528,201
1.2.826.0.1.3680043.8.498.10040419508532196461125208817600495772,188
1.2.826.0.1.3680043.8.498.10042423585566957032411171949972906248,116
1.2.826.0.1.3680043.8.498.10042474696169267476037627878420766468,587
1.2.826.0.1.3680043.8.498.10046318991957083423208748012349179640,136
1.2.826.0.1.3680043.8.498.10048925006598672000564912882060003872,594
1.2.826.0.1.3680043.8.498.10052893794239333131781802642788307307,74
1.2.826.0.1.3680043.8.498.10057981374227560278263065500472865434,723
1.2.826.0.1.3680043.8.498.10058383541003792190302541266378919328,88
1.2.826.0.1.3680043.8.498.10058588444796585220635465116646088095,30
1.2.826.0.1.3680043.8.498.10063454172499468887877935052136698373,2
1.2.826.0.1.3680043.8.498.10068453918327434625947056516458124159,242
1.2.826.0.1.3680043.8.498.10070371997983281654193426002305027111,30
1.2.826.0.1.3680043.8.498.10073947840865129766563613260212070964,120
1.2.826.0.1.3680043.8.498.10076056930521523789588901704956188485,136
1.2.826.0.1.3680043.8.498.10077108087009955586144859725246456654,31
1.2.826.0.1.3680043.8.498.10083588592953106038022099657923782077,24
1.2.826.0.1.3680043.8.498.10086325220791440678552106812785190149,82
1.2.826.0.1.3680043.8.498.10092666779602341135460882241562348436,281
1.2.826.0.1.3680043.8.498.10093305095697542087736136017987424145,96
1.2.826.0.1.3680043.8.498.10095912539619532839962135126795591815,240
1.2.826.0.1.3680043.8.498.10097649530131165889513682791963111629,175
1.2.826.0.1.3680043.8.498.10098743283291956051221530305664415374,44
1.2.826.0.1.3680043.8.498.10100852389239445465234081623205886374,1
